Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-03-22,0,Inter Kashi 1-3 Bengaluru,Inter Kashi,Bengaluru,d70h9cciplfhf01fn96gpcw0k,9558urfacm0je5ziziv2qrod0
2026-03-22,0,Chennaiyin 1-1 Goa,Chennaiyin,Goa,d70h9cciplfhf01fn96gpcw0k,949yrig9z7kb78wfvvov9qp04
2026-03-21,0,Kerala Blasters 1-3 Punjab,Kerala Blasters,Punjab,d70h9cciplfhf01fn96gpcw0k,92zgqlxdo40aeo0fimdrh4vmc
2026-03-20,0,Mohun Bagan 0-1 Mumbai City,Mohun Bagan,Mumbai City,d70h9cciplfhf01fn96gpcw0k,8zw6yx2zycl7o2o1jlpzf2yhg
2026-03-20,0,NorthEast United 1-4 Odisha,NorthEast United,Odisha,d70h9cciplfhf01fn96gpcw0k,8yxj3nwsc0qgwopqf56l9qql0
2026-03-19,0,Sporting Delhi 1-1 Jamshedpur,Sporting Delhi,Jamshedpur,d70h9cciplfhf01fn96gpcw0k,8yacckgnxbcizszp4k613f9qs
2026-03-16,0,Punjab 1-1 Goa,Punjab,Goa,d70h9cciplfhf01fn96gpcw0k,8xafi7wejk65403vnywmo9yc4
2026-03-15,0,Inter Kashi 1-2 Mumbai City,Inter Kashi,Mumbai City,d70h9cciplfhf01fn96gpcw0k,8wdsn3ed89u7f48hku8pe6yhg
2026-03-15,0,NorthEast United 2-1 Jamshedpur,NorthEast United,Jamshedpur,d70h9cciplfhf01fn96gpcw0k,8vbwmyeow4rsmy9tbmzo8j7ro
2026-03-14,0,Bengaluru 0-0 Mohun Bagan,Bengaluru,Mohun Bagan,d70h9cciplfhf01fn96gpcw0k,8ureuv0ee1ypbypmj7advan10
2026-03-14,0,East Bengal 1-1 Kerala Blasters,East Bengal,Kerala Blasters,d70h9cciplfhf01fn96gpcw0k,8tt9t3vlaz125i0zfqath7k0k
2026-03-09,0,Punjab 1-1 NorthEast United,Punjab,NorthEast United,d70h9cciplfhf01fn96gpcw0k,8rq0dcw5qou6u5fljww62j7dg
2026-03-08,0,Mumbai City 2-2 Sporting Delhi,Mumbai City,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,8r1uxbm1k2pbhsx4r6hsc58gk
2026-03-07,0,Kerala Blasters 0-1 Chennaiyin,Kerala Blasters,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,8q5olv5qmtcur13sr9i8lxt04
2026-03-07,0,Mohammedan 1-2 Bengaluru,Mohammedan,Bengaluru,d70h9cciplfhf01fn96gpcw0k,8piwcnb779bm93cfkejgs5xqs
2026-03-06,0,Jamshedpur 1-0 Inter Kashi,Jamshedpur,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,8o4fjo4f6drwrasaiq9u8oiz8
2026-03-06,0,Mohun Bagan 5-1 Odisha,Mohun Bagan,Odisha,d70h9cciplfhf01fn96gpcw0k,8olzg1mizn8obw97xxqpo84r8
2026-03-05,0,East Bengal 0-0 Goa,East Bengal,Goa,d70h9cciplfhf01fn96gpcw0k,8nhfz54kkruslfy0fy9qit4ic
2026-03-01,0,Mumbai City 1-1 NorthEast United,Mumbai City,NorthEast United,d70h9cciplfhf01fn96gpcw0k,8mxs1mnve62o2s54viw1gg93o
2026-03-01,0,Odisha 1-1 Chennaiyin,Odisha,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,8m18n53u1upfmj5nbjqxft91w
2026-02-28,0,Mohun Bagan 5-1 Mohammedan,Mohun Bagan,Mohammedan,d70h9cciplfhf01fn96gpcw0k,8lfxuxphzt0eg396lk1lm7m6s
2026-02-28,0,Kerala Blasters 1-2 Inter Kashi,Kerala Blasters,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,8kqoltf5zwtdteyyepu0yh89g
2026-02-27,0,Bengaluru 0-2 Punjab,Bengaluru,Punjab,d70h9cciplfhf01fn96gpcw0k,8k3hb2v83t0f9kv3yhb37byfo
2026-02-27,0,East Bengal 1-2 Jamshedpur,East Bengal,Jamshedpur,d70h9cciplfhf01fn96gpcw0k,8jfmh2b4d0pbfo2ihofrbx6hg
2026-02-26,0,Goa 1-0 Sporting Delhi,Goa,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,8ir0ysxbv6a0tvg8mjqu08oic
2026-02-24,0,Odisha 0-0 Inter Kashi,Odisha,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,8i3c7d7saaucwkhcrv4m74lqs
2026-02-23,0,Mohun Bagan 2-0 Chennaiyin,Mohun Bagan,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,8he5esgcnp7clgyy06elwjevo
2026-02-22,0,Kerala Blasters 0-1 Mumbai City,Kerala Blasters,Mumbai City,d70h9cciplfhf01fn96gpcw0k,8gr6ccg50p3tzwfeget6b572s
2026-02-22,0,Bengaluru 1-1 NorthEast United,Bengaluru,NorthEast United,d70h9cciplfhf01fn96gpcw0k,8fvhimx10c4j7f3kjrfa2k9as
2026-02-21,0,Jamshedpur 1-0 Punjab,Jamshedpur,Punjab,d70h9cciplfhf01fn96gpcw0k,8f9620nxpbtyd5jtpo4wow7is
2026-02-21,0,East Bengal 4-1 Sporting Delhi,East Bengal,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,8eq1cl4mqiem7o10woa4g0qhg
2026-02-20,0,Mohammedan 0-2 Goa,Mohammedan,Goa,d70h9cciplfhf01fn96gpcw0k,8e74zbgxyggkvauouhtkqj11w
2026-02-19,0,Mumbai City 1-0 Chennaiyin,Mumbai City,Chennaiyin,d70h9cciplfhf01fn96gpcw0k,8dlcot3dh5pr3poisqej66978
2026-02-16,0,East Bengal 3-0 NorthEast United,East Bengal,NorthEast United,d70h9cciplfhf01fn96gpcw0k,8d12ai16awutqd0wnax5fuaz8
2026-02-15,0,Bengaluru 2-0 Sporting Delhi,Bengaluru,Sporting Delhi,d70h9cciplfhf01fn96gpcw0k,8btokgt1z8iyyrx31q110yihg
2026-02-15,0,Jamshedpur 1-0 Mohammedan,Jamshedpur,Mohammedan,d70h9cciplfhf01fn96gpcw0k,8b59518froavzvtdlsbjhv7ro
2026-02-14,0,Goa 1-1 Inter Kashi,Goa,Inter Kashi,d70h9cciplfhf01fn96gpcw0k,8agpa4bh49xz1epepwryqjllg
